Participants,Trial,Grammar,Block,Response,RT,Accuracy
1,127,0,1,n,231,1
1,128,1,1,x,89,1
1,129,1,1,x,27,1
1,130,0,1,n,45,1
1,131,1,1,x,38,1
1,132,0,1,n,21,1
1,133,1,1,x,463,1
1,134,1,1,x,73,1
1,135,0,1,n,83,1
1,136,1,1,x,99,1
1,137,1,1,x,304,1
1,138,0,1,n,435,1
1,139,1,1,x,225,1
1,140,0,1,n,293,1
1,141,1,1,x,139,1
1,142,1,1,x,91,1
1,143,0,1,n,378,1
1,144,1,1,x,68,1
1,145,0,1,n,300,1
1,146,1,1,x,160,1
1,147,1,1,x,113,1
1,148,0,1,n,38,1
1,149,1,1,x,147,1
1,150,1,1,x,267,1
1,151,0,1,n,123,1
1,152,1,1,x,154,1
1,153,0,1,n,52,1
1,154,1,1,x,123,1
1,155,1,1,x,163,1
1,156,0,1,x,129,0
1,157,1,1,x,139,1
1,158,1,1,n,165,0
1,159,0,1,n,117,1
1,160,1,1,x,90,1
1,161,0,1,x,85,0
1,162,1,1,n,39,0
1,163,1,1,n,758,0
1,164,0,1,n,80,1
1,165,1,1,n,249,0
1,166,0,1,n,91,1
1,167,1,1,x,166,1
1,168,1,1,n,266,0
1,169,0,1,x,373,0
1,170,1,1,x,415,1
1,171,1,1,x,497,1
1,172,0,1,n,366,1
1,173,1,1,x,388,1
1,174,0,1,n,351,1
1,175,1,1,x,462,1
1,176,1,1,x,313,1
1,177,0,1,n,406,1
1,178,1,1,x,286,1
1,179,1,1,x,403,1
1,180,0,1,n,318,1
1,181,1,1,x,339,1
1,182,0,1,x,364,0
1,183,1,1,x,307,1
1,184,1,1,x,324,1
1,185,0,1,n,401,1
1,186,1,1,x,319,1
1,187,0,1,n,174,1
1,188,1,1,x,162,1
1,189,1,1,n,169,0
1,190,0,1,n,238,1
1,191,1,1,x,72,1
1,192,1,1,x,288,1
1,193,0,1,n,134,1
1,194,1,1,x,254,1
1,195,0,1,n,183,1
1,196,1,1,x,74,1
1,197,1,1,x,98,1
1,198,0,1,n,154,1
1,199,1,1,x,109,1
1,200,0,1,n,267,1
1,201,1,1,x,69,1
1,202,1,1,x,47,1
1,203,0,1,n,26,1
1,204,1,1,x,60,1
1,205,1,1,n,164,0
1,206,0,1,n,520,1
1,207,1,1,x,352,1
1,208,0,1,n,291,1
1,209,1,1,x,216,1
1,210,1,1,x,269,1
1,211,0,1,n,79,1
1,212,1,1,x,214,1
1,213,1,1,x,361,1
1,214,0,1,n,74,1
1,215,1,1,x,69,1
1,216,0,1,n,215,1
1,217,1,1,x,34,1
1,218,1,1,x,96,1
1,219,0,1,n,48,1
1,220,1,1,x,46,1
1,221,0,1,n,128,1
1,222,1,1,x,85,1
1,223,1,1,x,67,1
1,224,0,1,n,461,1
1,225,1,1,x,94,1
1,226,1,1,x,133,1
1,227,0,1,n,108,1
1,228,1,1,x,207,1
1,229,0,1,n,113,1
1,230,1,1,x,35,1
1,231,1,1,x,52,1
1,232,0,1,n,391,1
1,233,1,1,x,99,1
1,1,0,2,timeout,1205,timeout
1,2,1,2,timeout,1203,timeout
1,3,1,2,x,406,1
1,4,0,2,n,328,1
1,5,1,2,x,226,1
1,6,1,2,n,243,0
1,7,0,2,x,117,0
1,8,1,2,x,301,1
1,9,0,2,n,306,1
1,10,1,2,x,131,1
1,11,1,2,n,151,0
1,12,0,2,n,157,1
1,13,1,2,x,128,1
1,14,1,2,n,74,0
1,15,0,2,x,51,0
1,16,1,2,x,62,1
1,17,0,2,n,63,1
1,18,1,2,x,71,1
1,19,1,2,x,262,1
1,20,0,2,n,169,1
1,21,1,2,x,332,1
1,22,0,2,x,242,0
1,23,1,2,x,261,1
1,24,1,2,x,345,1
1,25,0,2,n,483,1
1,26,1,2,x,260,1
1,27,1,2,x,577,1
1,28,0,2,n,401,1
1,29,1,2,x,184,1
1,30,0,2,n,360,1
1,31,1,2,x,138,1
1,32,1,2,n,308,0
1,33,0,2,n,358,1
1,34,1,2,x,119,1
1,35,1,2,x,302,1
1,36,0,2,n,121,1
1,37,1,2,x,244,1
1,38,0,2,n,397,1
1,39,1,2,x,264,1
1,40,1,2,x,287,1
1,41,0,2,n,90,1
1,42,1,2,x,245,1
1,43,0,2,n,167,1
1,44,1,2,x,272,1
1,45,1,2,x,296,1
1,46,0,2,n,278,1
1,47,1,2,x,230,1
1,48,1,2,x,311,1
1,49,0,2,n,141,1
1,50,1,2,x,140,1
1,51,0,2,n,263,1
1,52,1,2,x,95,1
1,53,1,2,n,208,0
1,54,0,2,n,146,1
1,55,1,2,x,351,1
1,56,0,2,x,94,0
1,57,1,2,x,96,1
1,58,1,2,x,131,1
1,59,0,2,n,29,1
1,60,1,2,x,32,1
1,61,1,2,n,56,0
1,62,0,2,x,41,0
1,63,1,2,n,529,0
1,64,0,2,x,138,0
1,65,1,2,x,95,1
1,66,1,2,n,58,0
1,67,0,2,n,183,1
1,68,1,2,x,49,1
1,69,1,2,x,360,1
1,70,0,2,n,90,1
1,71,1,2,n,248,0
1,72,0,2,n,610,1
1,73,1,2,x,819,1
1,74,1,2,x,431,1
1,75,0,2,n,701,1
1,76,1,2,x,485,1
1,77,0,2,n,365,1
1,78,1,2,x,365,1
1,79,1,2,x,354,1
1,80,0,2,n,297,1
1,81,1,2,n,236,0
1,82,1,2,n,193,0
1,83,0,2,n,277,1
1,84,1,2,n,19,0
1,85,0,2,n,9,1
1,86,1,2,x,77,1
1,87,1,2,x,60,1
1,88,0,2,n,134,1
1,89,1,2,x,22,1
1,90,1,2,x,51,1
1,91,0,2,n,222,1
1,92,1,2,x,284,1
1,93,0,2,n,285,1
1,94,1,2,x,172,1
1,95,1,2,n,200,0
1,96,0,2,n,134,1
1,97,1,2,x,55,1
1,98,0,2,x,23,0
1,99,1,2,x,5,1
1,100,1,2,x,128,1
1,101,0,2,n,418,1
1,102,1,2,x,324,1
1,103,1,2,n,128,0
1,104,0,2,n,21,1
1,105,1,2,x,57,1
1,106,0,2,x,34,0
1,107,1,2,x,117,1
1,108,1,2,x,244,1
1,109,0,2,n,73,1
1,110,1,2,x,310,1
1,111,0,2,x,236,0
1,112,1,2,x,143,1
1,113,1,2,x,224,1
1,114,0,2,n,498,1
1,115,1,2,x,184,1
1,116,1,2,x,265,1
1,117,0,2,n,123,1
1,118,1,2,x,535,1
1,119,0,2,n,26,1
1,120,1,2,x,266,1
1,121,1,2,n,89,0
1,122,0,2,n,103,1
1,123,1,2,x,402,1
1,124,1,2,x,261,1
1,125,0,2,n,461,1
1,126,1,2,x,256,1
1,127,0,2,n,297,1
1,128,1,2,x,295,1
1,129,1,2,x,228,1
1,130,0,2,n,276,1
1,131,1,2,timeout,1202,timeout
1,132,0,2,x,205,0
1,133,1,2,x,363,1
1,134,1,2,x,404,1
1,135,0,2,n,297,1
1,136,1,2,x,826,1
1,137,1,2,x,335,1
1,138,0,2,n,267,1
1,139,1,2,x,1138,1
1,140,0,2,x,921,0
1,141,1,2,timeout,1203,timeout
1,142,1,2,x,292,1
1,143,0,2,n,294,1
1,144,1,2,x,286,1
1,145,0,2,x,288,0
1,146,1,2,x,362,1
1,147,1,2,x,166,1
1,148,0,2,n,178,1
1,149,1,2,x,280,1
1,150,1,2,x,186,1
1,151,0,2,n,288,1
1,152,1,2,x,289,1
1,153,0,2,n,89,1
1,154,1,2,x,129,1
1,155,1,2,x,89,1
1,156,0,2,n,103,1
1,157,1,2,x,177,1
1,158,1,2,x,156,1
1,159,0,2,n,156,1
1,160,1,2,x,125,1
1,161,0,2,n,131,1
1,162,1,2,x,60,1
1,163,1,2,x,227,1
1,164,0,2,n,154,1
1,165,1,2,x,185,1
1,166,0,2,n,259,1
1,167,1,2,x,203,1
1,168,1,2,x,87,1
1,169,0,2,n,36,1
1,170,1,2,x,173,1
1,171,1,2,x,359,1
1,172,0,2,n,279,1
1,173,1,2,x,150,1
1,174,0,2,n,333,1
1,175,1,2,x,111,1
1,176,1,2,x,65,1
1,177,0,2,n,22,1
1,178,1,2,x,117,1
1,179,1,2,x,367,1
1,180,0,2,n,386,1
1,181,1,2,x,87,1
1,182,0,2,n,361,1
1,183,1,2,x,83,1
1,184,1,2,x,35,1
1,185,0,2,n,72,1
1,186,1,2,x,187,1
1,187,0,2,n,346,1
1,188,1,2,x,309,1
1,189,1,2,x,281,1
1,190,0,2,n,73,1
1,191,1,2,x,106,1
1,192,1,2,x,311,1
1,193,0,2,n,73,1
1,194,1,2,x,326,1
1,195,0,2,n,221,1
1,196,1,2,x,288,1
1,197,1,2,x,218,1
1,198,0,2,n,145,1
1,199,1,2,x,105,1
1,200,0,2,n,642,1
1,201,1,2,x,458,1
1,202,1,2,x,333,1
1,203,0,2,n,205,1
1,204,1,2,x,258,1
1,205,1,2,x,417,1
1,206,0,2,n,118,1
1,207,1,2,x,281,1
1,208,0,2,n,392,1
1,209,1,2,x,657,1
1,210,1,2,x,266,1
1,211,0,2,n,145,1
1,212,1,2,x,221,1
1,213,1,2,x,227,1
1,214,0,2,n,177,1
1,215,1,2,x,267,1
1,216,0,2,n,284,1
1,217,1,2,x,245,1
1,218,1,2,x,67,1
1,219,0,2,n,27,1
1,220,1,2,x,203,1
1,221,0,2,n,329,1
1,222,1,2,x,18,1
1,223,1,2,x,413,1
1,224,0,2,n,100,1
1,225,1,2,x,240,1
1,226,1,2,x,299,1
1,227,0,2,n,148,1
1,228,1,2,x,67,1
1,229,0,2,n,165,1
1,230,1,2,x,33,1
1,231,1,2,x,138,1
1,232,0,2,n,88,1
1,233,1,2,x,78,1
1,1,0,3,n,753,1
1,2,1,3,x,252,1
1,3,1,3,x,284,1
1,4,0,3,n,298,1
1,5,1,3,x,167,1
1,6,1,3,x,278,1
1,7,0,3,n,164,1
1,8,1,3,x,177,1
1,9,0,3,n,324,1
1,10,1,3,x,215,1
1,11,1,3,x,227,1
1,12,0,3,n,64,1
1,13,1,3,x,96,1
1,14,1,3,x,91,1
1,15,0,3,n,36,1
1,16,1,3,x,70,1
1,17,0,3,x,202,0
1,18,1,3,x,280,1
1,19,1,3,x,140,1
1,20,0,3,n,95,1
1,21,1,3,x,141,1
1,22,0,3,x,150,0
1,23,1,3,x,123,1
1,24,1,3,x,90,1
1,25,0,3,n,107,1
1,26,1,3,x,62,1
1,27,1,3,x,220,1
1,28,0,3,n,81,1
1,29,1,3,x,93,1
1,30,0,3,n,28,1
1,31,1,3,x,57,1
1,32,1,3,x,86,1
1,33,0,3,n,246,1
1,34,1,3,x,90,1
1,35,1,3,n,183,0
1,36,0,3,n,72,1
1,37,1,3,x,424,1
1,38,0,3,n,388,1
1,39,1,3,n,425,0
1,40,1,3,x,187,1
1,41,0,3,n,28,1
1,42,1,3,x,186,1
1,43,0,3,n,299,1
1,44,1,3,x,133,1
1,45,1,3,x,87,1
1,46,0,3,n,129,1
1,47,1,3,x,138,1
1,48,1,3,x,370,1
1,49,0,3,n,152,1
1,50,1,3,x,93,1
1,51,0,3,n,368,1
1,52,1,3,x,83,1
1,53,1,3,x,68,1
1,54,0,3,n,88,1
1,55,1,3,x,83,1
1,56,0,3,n,342,1
1,57,1,3,x,173,1
1,58,1,3,x,93,1
1,59,0,3,n,56,1
1,60,1,3,x,115,1
1,61,1,3,x,158,1
1,62,0,3,n,106,1
1,63,1,3,x,118,1
1,64,0,3,n,25,1
1,65,1,3,x,115,1
1,66,1,3,x,148,1
1,67,0,3,n,56,1
1,68,1,3,x,79,1
1,69,1,3,n,64,0
1,70,0,3,n,311,1
1,71,1,3,x,76,1
1,72,0,3,n,338,1
1,73,1,3,x,98,1
1,74,1,3,x,215,1
1,75,0,3,n,101,1
1,76,1,3,x,104,1
1,77,0,3,n,331,1
1,78,1,3,x,122,1
1,79,1,3,x,73,1
1,80,0,3,n,10,1
1,81,1,3,x,393,1
1,82,1,3,x,96,1
1,83,0,3,n,21,1
1,84,1,3,x,80,1
1,85,0,3,n,368,1
1,86,1,3,x,144,1
1,87,1,3,x,352,1
1,88,0,3,n,22,1
1,89,1,3,x,185,1
1,90,1,3,n,215,0
1,91,0,3,n,50,1
1,92,1,3,x,271,1
1,93,0,3,n,268,1
1,94,1,3,x,325,1
1,95,1,3,x,292,1
1,96,0,3,n,88,1
1,97,1,3,x,184,1
1,98,0,3,n,305,1
1,99,1,3,x,197,1
1,100,1,3,x,81,1
1,101,0,3,n,35,1
1,102,1,3,x,104,1
1,103,1,3,x,79,1
1,104,0,3,n,28,1
1,105,1,3,x,101,1
1,106,0,3,n,21,1
1,107,1,3,x,84,1
1,108,1,3,x,116,1
1,109,0,3,n,41,1
1,110,1,3,x,92,1
1,111,0,3,n,293,1
1,112,1,3,x,136,1
1,113,1,3,x,84,1
1,114,0,3,n,66,1
1,115,1,3,x,70,1
1,116,1,3,x,221,1
1,117,0,3,n,41,1
1,118,1,3,x,452,1
1,119,0,3,n,19,1
1,120,1,3,x,74,1
1,121,1,3,x,122,1
1,122,0,3,n,61,1
1,123,1,3,x,51,1
1,124,1,3,x,353,1
1,125,0,3,n,90,1
1,126,1,3,x,116,1
1,127,0,3,n,111,1
1,128,1,3,x,78,1
1,129,1,3,x,78,1
1,130,0,3,n,63,1
1,131,1,3,x,55,1
1,132,0,3,n,67,1
1,133,1,3,x,107,1
1,134,1,3,x,93,1
1,135,0,3,n,35,1
1,136,1,3,x,41,1
1,137,1,3,x,52,1
1,138,0,3,n,412,1
1,139,1,3,x,17,1
1,140,0,3,x,131,0
1,141,1,3,x,287,1
1,142,1,3,n,363,0
1,143,0,3,n,433,1
1,144,1,3,x,335,1
1,145,0,3,n,399,1
1,146,1,3,x,264,1
1,147,1,3,x,207,1
1,148,0,3,n,27,1
1,149,1,3,x,82,1
1,150,1,3,x,263,1
1,151,0,3,n,40,1
1,152,1,3,x,120,1
1,153,0,3,n,74,1
1,154,1,3,x,51,1
1,155,1,3,x,245,1
1,156,0,3,n,82,1
1,157,1,3,x,160,1
1,158,1,3,n,207,0
1,159,0,3,n,42,1
1,160,1,3,x,222,1
1,161,0,3,n,349,1
1,162,1,3,x,130,1
1,163,1,3,x,110,1
1,164,0,3,n,42,1
1,165,1,3,x,173,1
1,166,0,3,n,323,1
1,167,1,3,x,135,1
1,168,1,3,x,80,1
1,169,0,3,n,36,1
1,170,1,3,x,217,1
1,171,1,3,n,283,0
1,172,0,3,n,58,1
1,173,1,3,x,260,1
1,174,0,3,n,379,1
1,175,1,3,x,203,1
1,176,1,3,x,88,1
1,177,0,3,n,99,1
1,178,1,3,x,118,1
1,179,1,3,x,172,1
1,180,0,3,n,52,1
1,181,1,3,x,110,1
1,182,0,3,n,38,1
1,183,1,3,x,100,1
1,184,1,3,x,304,1
1,185,0,3,n,83,1
1,186,1,3,x,116,1
1,187,0,3,n,275,1
1,188,1,3,x,223,1
1,189,1,3,x,160,1
1,190,0,3,n,121,1
1,191,1,3,x,71,1
1,192,1,3,x,300,1
1,193,0,3,n,93,1
1,194,1,3,x,55,1
1,195,0,3,n,55,1
1,196,1,3,x,98,1
1,197,1,3,x,140,1
1,198,0,3,n,48,1
1,199,1,3,x,112,1
1,200,0,3,n,283,1
1,201,1,3,x,51,1
1,202,1,3,x,161,1
1,203,0,3,n,15,1
1,204,1,3,x,117,1
1,205,1,3,x,71,1
1,206,0,3,n,35,1
1,207,1,3,x,69,1
1,208,0,3,n,251,1
1,209,1,3,x,52,1
1,210,1,3,n,160,0
1,211,0,3,n,401,1
1,212,1,3,x,113,1
1,213,1,3,x,147,1
1,214,0,3,n,76,1
1,215,1,3,x,49,1
1,216,0,3,n,132,1
1,217,1,3,x,235,1
1,218,1,3,x,204,1
1,219,0,3,n,82,1
1,220,1,3,x,104,1
1,221,0,3,n,394,1
1,222,1,3,x,151,1
1,223,1,3,x,65,1
1,224,0,3,n,36,1
1,225,1,3,x,52,1
1,226,1,3,x,262,1
1,227,0,3,n,59,1
1,228,1,3,x,44,1
1,229,0,3,n,86,1
1,230,1,3,x,79,1
1,231,1,3,x,103,1
1,232,0,3,n,49,1
1,233,1,3,x,18,1
1,1,0,4,n,423,1
1,2,1,4,x,322,1
1,3,1,4,x,120,1
1,4,0,4,n,14,1
1,5,1,4,x,316,1
1,6,1,4,x,267,1
1,7,0,4,n,117,1
1,8,1,4,x,149,1
1,9,0,4,x,124,0
1,10,1,4,x,90,1
1,11,1,4,x,90,1
1,12,0,4,n,52,1
1,13,1,4,x,59,1
1,14,1,4,x,231,1
1,15,0,4,n,77,1
1,16,1,4,x,34,1
1,17,0,4,n,9,1
1,18,1,4,x,51,1
1,19,1,4,x,307,1
1,20,0,4,n,211,1
1,21,1,4,x,177,1
1,22,0,4,n,363,1
1,23,1,4,x,341,1
1,24,1,4,n,260,0
1,25,0,4,n,16,1
1,26,1,4,x,443,1
1,27,1,4,n,330,0
1,28,0,4,n,428,1
1,29,1,4,x,406,1
1,30,0,4,n,329,1
1,31,1,4,n,512,0
1,32,1,4,n,239,0
1,33,0,4,n,79,1
1,34,1,4,x,268,1
1,35,1,4,x,331,1
1,36,0,4,n,434,1
1,37,1,4,x,308,1
1,38,0,4,x,344,0
1,39,1,4,x,399,1
1,40,1,4,x,314,1
1,41,0,4,n,296,1
1,42,1,4,x,276,1
1,43,0,4,n,327,1
1,44,1,4,x,371,1
1,45,1,4,x,221,1
1,46,0,4,n,191,1
1,47,1,4,x,388,1
1,48,1,4,x,308,1
1,49,0,4,n,97,1
1,50,1,4,x,250,1
1,51,0,4,n,262,1
1,52,1,4,x,211,1
1,53,1,4,x,191,1
1,54,0,4,n,268,1
1,55,1,4,x,304,1
1,56,0,4,n,436,1
1,57,1,4,x,380,1
1,58,1,4,x,286,1
1,59,0,4,n,267,1
1,60,1,4,x,285,1
1,61,1,4,x,347,1
1,62,0,4,n,161,1
1,63,1,4,x,174,1
1,64,0,4,n,237,1
1,65,1,4,x,76,1
1,66,1,4,x,103,1
1,67,0,4,n,43,1
1,68,1,4,x,45,1
1,69,1,4,x,107,1
1,70,0,4,n,55,1
1,71,1,4,x,89,1
1,72,0,4,n,196,1
1,73,1,4,x,71,1
1,74,1,4,x,449,1
1,75,0,4,n,308,1
1,76,1,4,x,188,1
1,77,0,4,n,317,1
1,78,1,4,x,182,1
1,79,1,4,x,385,1
1,80,0,4,n,284,1
1,81,1,4,x,172,1
1,82,1,4,x,44,1
1,83,0,4,n,160,1
1,84,1,4,x,45,1
1,85,0,4,n,361,1
1,86,1,4,x,57,1
1,87,1,4,x,125,1
1,88,0,4,n,79,1
1,89,1,4,x,22,1
1,90,1,4,x,272,1
1,91,0,4,n,110,1
1,92,1,4,x,156,1
1,93,0,4,n,93,1
1,94,1,4,x,14,1
1,95,1,4,x,325,1
1,96,0,4,n,173,1
1,97,1,4,x,166,1
1,98,0,4,x,131,0
1,99,1,4,x,96,1
1,100,1,4,x,123,1
1,101,0,4,n,35,1
1,102,1,4,x,150,1
1,103,1,4,n,146,0
1,104,0,4,n,22,1
1,105,1,4,x,73,1
1,106,0,4,n,341,1
1,107,1,4,x,85,1
1,108,1,4,x,86,1
1,109,0,4,n,91,1
1,110,1,4,x,117,1
1,111,0,4,x,229,0
1,112,1,4,x,134,1
1,113,1,4,x,345,1
1,114,0,4,n,76,1
1,115,1,4,x,179,1
1,116,1,4,x,572,1
1,117,0,4,n,210,1
1,118,1,4,x,212,1
1,119,0,4,n,409,1
1,120,1,4,x,160,1
1,121,1,4,x,229,1
1,122,0,4,n,280,1
1,123,1,4,x,179,1
1,124,1,4,n,182,0
1,125,0,4,n,36,1
1,126,1,4,x,150,1
1,127,0,4,n,285,1
1,128,1,4,x,130,1
1,129,1,4,x,186,1
1,130,0,4,n,123,1
1,131,1,4,x,173,1
1,132,0,4,n,354,1
1,133,1,4,x,387,1
1,134,1,4,x,137,1
1,135,0,4,n,81,1
1,136,1,4,x,208,1
1,137,1,4,x,376,1
1,138,0,4,n,319,1
1,139,1,4,x,70,1
1,140,0,4,n,496,1
1,141,1,4,x,230,1
1,142,1,4,x,304,1
1,143,0,4,n,229,1
1,144,1,4,x,354,1
1,145,0,4,n,390,1
1,146,1,4,x,392,1
1,147,1,4,x,276,1
1,148,0,4,n,110,1
1,149,1,4,x,215,1
1,150,1,4,x,343,1
1,151,0,4,n,138,1
1,152,1,4,x,215,1
1,153,0,4,n,369,1
1,154,1,4,x,364,1
1,155,1,4,x,142,1
1,156,0,4,n,140,1
1,157,1,4,x,293,1
1,158,1,4,x,266,1
1,159,0,4,n,147,1
1,160,1,4,x,148,1
1,161,0,4,n,174,1
1,162,1,4,x,187,1
1,163,1,4,x,315,1
1,164,0,4,n,269,1
1,165,1,4,x,139,1
1,166,0,4,n,403,1
1,167,1,4,x,272,1
1,168,1,4,x,250,1
1,169,0,4,n,118,1
1,170,1,4,x,182,1
1,171,1,4,x,281,1
1,172,0,4,n,104,1
1,173,1,4,x,74,1
1,174,0,4,n,352,1
1,175,1,4,x,153,1
1,176,1,4,x,286,1
1,177,0,4,n,140,1
1,178,1,4,x,167,1
1,179,1,4,x,313,1
1,180,0,4,n,273,1
1,181,1,4,x,201,1
1,182,0,4,n,337,1
1,183,1,4,x,154,1
1,184,1,4,x,323,1
1,185,0,4,n,200,1
1,186,1,4,x,140,1
1,187,0,4,n,111,1
1,188,1,4,x,12,1
1,189,1,4,x,184,1
1,190,0,4,n,93,1
1,191,1,4,x,76,1
1,192,1,4,x,118,1
1,193,0,4,n,93,1
1,194,1,4,x,102,1
1,195,0,4,n,41,1
1,196,1,4,x,65,1
1,197,1,4,x,191,1
1,198,0,4,n,37,1
1,199,1,4,x,42,1
1,200,0,4,n,68,1
1,201,1,4,x,78,1
1,202,1,4,x,100,1
1,203,0,4,n,425,1
1,204,1,4,x,131,1
1,205,1,4,x,83,1
1,206,0,4,n,126,1
1,207,1,4,x,92,1
1,208,0,4,n,24,1
1,209,1,4,x,107,1
1,210,1,4,x,210,1
1,211,0,4,x,165,0
1,212,1,4,x,128,1
1,213,1,4,x,310,1
1,214,0,4,n,17,1
1,215,1,4,x,120,1
1,216,0,4,x,140,0
1,217,1,4,x,95,1
1,218,1,4,x,25,1
1,219,0,4,n,19,1
1,220,1,4,x,68,1
1,221,0,4,x,47,0
1,222,1,4,x,168,1
1,223,1,4,x,113,1
1,224,0,4,n,127,1
1,225,1,4,x,183,1
1,226,1,4,x,90,1
1,227,0,4,n,113,1
1,228,1,4,x,224,1
1,229,0,4,n,379,1
1,230,1,4,x,368,1
1,231,1,4,x,129,1
1,232,0,4,n,86,1
1,233,1,4,x,72,1
1,1,0,5,x,36,0
1,2,1,5,timeout,1206,timeout
1,3,1,5,x,282,1
1,4,0,5,n,184,1
1,5,1,5,x,200,1
1,6,1,5,x,159,1
1,7,0,5,n,231,1
1,8,1,5,x,230,1
1,9,0,5,n,352,1
1,10,1,5,x,376,1
1,11,1,5,x,268,1
1,12,0,5,n,223,1
1,13,1,5,x,364,1
1,14,1,5,x,357,1
1,15,0,5,n,400,1
1,16,1,5,x,346,1
1,17,0,5,x,259,0
1,18,1,5,x,320,1
1,19,1,5,x,198,1
1,20,0,5,n,83,1
1,21,1,5,x,304,1
1,22,0,5,n,287,1
1,23,1,5,x,177,1
1,24,1,5,x,312,1
1,25,0,5,n,122,1
1,26,1,5,x,297,1
1,27,1,5,x,328,1
1,28,0,5,n,356,1
1,29,1,5,x,334,1
1,30,0,5,n,270,1
1,31,1,5,x,375,1
1,32,1,5,x,152,1
1,33,0,5,n,101,1
1,34,1,5,x,151,1
1,35,1,5,x,286,1
1,36,0,5,n,174,1
1,37,1,5,x,323,1
1,38,0,5,n,84,1
1,39,1,5,x,86,1
1,40,1,5,x,241,1
1,41,0,5,n,177,1
1,42,1,5,x,79,1
1,43,0,5,n,98,1
1,44,1,5,x,95,1
1,45,1,5,x,124,1
1,46,0,5,n,138,1
1,47,1,5,x,89,1
1,48,1,5,x,84,1
1,49,0,5,n,12,1
1,50,1,5,x,60,1
1,51,0,5,n,29,1
1,52,1,5,x,38,1
1,53,1,5,x,225,1
1,54,0,5,n,31,1
1,55,1,5,x,23,1
1,56,0,5,n,26,1
1,57,1,5,x,86,1
1,58,1,5,x,100,1
1,59,0,5,n,423,1
1,60,1,5,x,18,1
1,61,1,5,x,40,1
1,62,0,5,n,70,1
